Stekelenburg**Maarten;1;3;5
DeLange**Ilse;8;10;6
Timmermans**Frans;11;6;2
Cocu**Phillip;9;0;2
Sneijder**Wesley;1;1;11
Vlaar**Ron;0;4;3
Marwijk**Bert;10;1;6
Kuijt**Dirk;2;7;3
Gaal**Louis;1;0;12
Verbeek**Gertjan;2;1;11
Jol**Martin;2;5;7
Gullit**Ruud;3;4;1
Wouters**Jan;11;0;9
Wennemars**Erben;7;4;3
Schaars**Stijn;1;5;2
Koeman**Ronald;2;0;14
Winfrey**Oprah;4;11;2
Booy**Foeke;6;5;4
Barneveld**Raymond;6;4;3
Robben**Arjen;0;0;13
Cruise**Tom;5;8;16
Ronaldo**Cristiano;2;4;17
Bommel**Mark;3;1;1
Been**Mario;3;6;2
Brom**John;2;3;3
Persie**Robin;0;2;5
Leeuw**Paul;10;11;1
Bosz**Peter;7;0;5
Mathijsen**Joris;2;6;2
Vaart**Rafael;0;1;6
Janssen**Anton;5;5;1
Jans**Ron;12;1;2
Advocaat**Dick;4;0;4
Boer**Frank;3;0;2
Basten**Marco;10;0;1
Ibrahimovic**Zlatan;1;6;10
Williams**Robbie;6;11;12
Tan**Humberto;9;9;1
